AJ AJ	AJ adjective (including statives)
AN AN	AN unknown
CN CN	CN Celestial Name
CNJ CNJ	CNJ conjunction
DN DN	DN Divine Name
DP DP	DP demonstrative pronoun
EN EN	EN Ethnos Name
FN FN	FN Field Name
GN GN	GN Geographical Name
IP IP	IP independentanaphoric pronoun
J J	J interjection
MA MA	MA adverb
MN MN	MN Month Name
N N	N noun (including statives)
NP NP	RN Royal Name
NU NU	NU number
ON ON	ON Object Name
PN PN	PN Personal Name
QP QP	QP interrogative pronoun
RN RN	RN Royal Name
RP RP	RP reflexivereciprocal pronoun
SN SN	SN Settlement Name
TN TN	TN Temple Name
V/i V/i	V/i verb
V/t V/t	V/t verb
WN WN	WN Watercourse Name
X X	X unknown
